"ONTOLOGY" "ID" "Description" "GeneRatio" "BgRatio" "pvalue" "p.adjust" "qvalue" "geneID" "Count"
"BP" "GO:1902176" "negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway" "5/334" "15/9111" 0.000142428094337013 0.000696867633638951 0.000369202633305684 "FYN/HIF1A/NFE2L2/AKT1/CTNNB1" 5
"BP" "GO:0034764" "positive regulation of transmembrane transport" "14/334" "122/9111" 0.00014306287886856 0.000699101789141008 0.000370386295818845 "IGF1/AKT2/NHERF1/NFE2L2/PLCG1/AKT1/BRAF/FGF19/PRKCI/TERT/INSR/PTPN11/IRS2/TMSB4X" 14
"BP" "GO:0031667" "response to nutrient levels" "24/334" "289/9111" 0.000150751587501394 0.000735757747954563 0.000389806736469301 "MAPK1/RHEB/COL1A1/TFEB/NFE2L2/RRAGC/FGF23/RARA/PPARG/PIK3C2B/MDM2/PIM1/IGF1R/AKT1/SFRP2/ZEB1/RICTOR/PPM1D/DDIT3/TBL1XR1/SOX2/FES/SRC/NTRK1" 24
"BP" "GO:0046822" "regulation of nucleocytoplasmic transport" "9/334" "55/9111" 0.000153773989513274 0.000749576565031163 0.000397127988608978 "PRKACA/HSP90AA1/XPO1/JAK2/UBR5/NUP214/SMO/MDM2/PTPN11" 9
"BP" "GO:0043583" "ear development" "14/334" "123/9111" 0.000156189090526101 0.000760404455613424 0.000402864638617016 "FGFR2/FGF10/MAPK1/HOXA13/GATA3/NHERF1/MYCL/SOX9/LGR5/ZEB1/PTPN11/SOX2/POU3F4/MAFB" 14
"BP" "GO:0001541" "ovarian follicle development" "7/334" "33/9111" 0.000156628533710815 0.000760656393912424 0.000402998116309093 "ESR1/VEGFA/INHBA/KDR/KIT/FOXL2/SRC" 7
"BP" "GO:0010543" "regulation of platelet activation" "7/334" "33/9111" 0.000156628533710815 0.000760656393912424 0.000402998116309093 "JAK2/PDGFB/IL6ST/PDGFRA/TEC/SYK/LYN" 7
"BP" "GO:0009991" "response to extracellular stimulus" "25/334" "308/9111" 0.000157708894670078 0.000764956369203196 0.000405276256552474 "MAPK1/RHEB/COL1A1/TFEB/NFE2L2/RRAGC/FGF23/RARA/PPARG/PIK3C2B/MDM2/PIM1/IGF1R/AKT1/SFRP2/ZEB1/RICTOR/PPM1D/DDIT3/TBL1XR1/SOX2/FES/SRC/NTRK1/LYN" 25
"BP" "GO:0043254" "regulation of protein-containing complex assembly" "20/334" "220/9111" 0.000161794376431636 0.00078380386804659 0.000415261719886264 "CDC42/CDH17/HSP90AA1/TCL1A/MET/VEGFA/SOX9/CCR7/RAP1B/RAF1/PAK1/NRG1/RICTOR/SYK/MYD88/PTPN11/FES/SRC/TMSB4X/IKBKE" 20
"BP" "GO:0050804" "modulation of chemical synaptic transmission" "22/334" "255/9111" 0.000164774747394206 0.000797257840659514 0.000422389676297693 "FYN/PRKACA/ERC1/JAK2/MAPK1/KMT2A/PLCG1/RAP1B/HIP1/RARA/KRAS/EPHA7/USP8/NTRK2/EPHB1/KIT/BRAF/SQSTM1/NCSTN/CDH2/NTRK1/GRM3" 22
"BP" "GO:0061008" "hepaticobiliary system development" "11/334" "81/9111" 0.000166009573817792 0.000802243309927359 0.000425030993375861 "JARID2/HGF/AURKA/MET/CCND1/GLI1/PIK3CA/SOX9/RARA/NOTCH2/GATA6" 11
"BP" "GO:0048839" "inner ear development" "13/334" "109/9111" 0.00016673357339747 0.000804750974184097 0.00042635956167541 "FGFR2/FGF10/HOXA13/GATA3/NHERF1/MYCL/SOX9/LGR5/ZEB1/PTPN11/SOX2/POU3F4/MAFB" 13
"BP" "GO:0032940" "secretion by cell" "32/334" "442/9111" 0.000169317484347576 0.000816218438058832 0.000432435059597133 "NADK/IGF1/GAB2/FGF10/PRKACA/FCGR2B/JAK2/HIF1A/PIK3CG/GATA3/CREB1/MYB/FGF23/INHBA/RAP1B/RAC2/RAF1/PPARG/CYP19A1/FURIN/NTRK2/PAK1/KIT/BRAF/LRP5/SYK/PIK3CD/PTPN11/FES/FOXL2/IRS2/LYN" 32
"BP" "GO:0048609" "multicellular organismal reproductive process" "34/334" "482/9111" 0.000173864256921081 0.000837108397740272 0.000443502625016642 "IGF1/ROS1/TRIP13/PRKACA/TP63/PGR/AURKA/ESR1/CRKL/YY1/GLI1/BCL6/PIK3CA/INHBA/SOX9/SSX1/RARA/PDGFRA/LGR5/CUL4A/IGF1R/AKT1/DDX4/KIT/CTNNB1/CALR/PTPN11/FOXL2/WT1/EPOR/PAX5/SRC/TRIM27/ETV5" 34
"BP" "GO:0099177" "regulation of trans-synaptic signaling" "22/334" "256/9111" 0.000174333721531226 0.000838340102069279 0.000444155185789696 "FYN/PRKACA/ERC1/JAK2/MAPK1/KMT2A/PLCG1/RAP1B/HIP1/RARA/KRAS/EPHA7/USP8/NTRK2/EPHB1/KIT/BRAF/SQSTM1/NCSTN/CDH2/NTRK1/GRM3" 22
"BP" "GO:0009954" "proximal/distal pattern formation" "6/334" "24/9111" 0.00017835383105134 0.000853488332982266 0.000452180765502434 "FGF10/TP63/GLI1/HOXC11/CTNNB1/PBX1" 6
"BP" "GO:0031103" "axon regeneration" "6/334" "24/9111" 0.00017835383105134 0.000853488332982266 0.000452180765502434 "JAK2/MAP2K2/KLF4/IGF1R/BRAF/MAP2K1" 6
"BP" "GO:0032768" "regulation of monooxygenase activity" "6/334" "24/9111" 0.00017835383105134 0.000853488332982266 0.000452180765502434 "PIK3CB/HIF1A/FGF23/AKT1/EGFR/TERT" 6
"BP" "GO:0035883" "enteroendocrine cell differentiation" "6/334" "24/9111" 0.00017835383105134 0.000853488332982266 0.000452180765502434 "CDK6/RHEB/SMO/GATA6/AKT1/CDH2" 6
"BP" "GO:0000723" "telomere maintenance" "11/334" "82/9111" 0.000185569324436124 0.000886935480008954 0.000469901167717604 "HSP90AA1/MAPK1/YY1/CCNE1/HNRNPA2B1/MYC/TERT/CTNNB1/AURKB/SRC/PRKDC" 11
"BP" "GO:0030902" "hindbrain development" "12/334" "96/9111" 0.000189267771561582 0.000903511843804925 0.000478683376660423 "CTNNA2/FCGR2B/CRKL/GLI1/SMO/IGF1R/EPHB1/NCSTN/CTNNB1/MAP2K1/PTPN11/MAFB" 12
"BP" "GO:0001708" "cell fate specification" "10/334" "69/9111" 0.000189917801900411 0.00090441438671992 0.000479161546695596 "HOXA13/CHD4/SOX9/SMO/FOXA1/SFRP2/CTNNB1/SOX2/POU3F2/HDAC2" 10
"BP" "GO:0021987" "cerebral cortex development" "10/334" "69/9111" 0.000189917801900411 0.00090441438671992 0.000479161546695596 "CRKL/HIF1A/SMO/NKX2-1/EGFR/NTRK2/CTNNB1/CDH2/POU3F2/PAX5" 10
"BP" "GO:0034332" "adherens junction organization" "7/334" "34/9111" 0.000191111026318916 0.00090789305965548 0.000481004558404306 "CDC42/CDH17/VEGFA/CTNNB1/CDH2/CDH4/SRC" 7
"BP" "GO:2000179" "positive regulation of neural precursor cell proliferation" "7/334" "34/9111" 0.000191111026318916 0.00090789305965548 0.000481004558404306 "SOX10/HIF1A/GLI1/VEGFA/SMO/CTNNB1/LYN" 7
"BP" "GO:0003281" "ventricular septum development" "8/334" "45/9111" 0.00019726596489029 0.000935999572224302 0.000495895475922259 "FGFR2/SALL4/HOXA13/GATA3/MDM2/HEY1/FRS2/MDM4" 8
"BP" "GO:0009914" "hormone transport" "17/334" "173/9111" 0.000198224612508994 0.000939412294064364 0.000497703546536058 "NADK/PRKACA/JAK2/HIF1A/GATA3/CREB1/MYB/FGF23/INHBA/RAF1/PPARG/CYP19A1/LRP5/PTPN11/FOXL2/IRS2/LYN" 17
"BP" "GO:1902745" "positive regulation of lamellipodium organization" "5/334" "16/9111" 0.000200981809780733 0.000950183881421199 0.000503410366920669 "CDC42/HSP90AA1/PIK3CA/RAC2/SRC" 5
"BP" "GO:2000773" "negative regulation of cellular senescence" "5/334" "16/9111" 0.000200981809780733 0.000950183881421199 0.000503410366920669 "CDK6/BCL6/AKT3/HMGA2/TERT" 5
"BP" "GO:0043255" "regulation of carbohydrate biosynthetic process" "9/334" "57/9111" 0.000203991617761105 0.000963252837658936 0.000510334340462578 "IGF1/PRKACA/PDGFB/AKT2/AKT1/RANBP2/IGF2/INSR/IRS2" 9
"BP" "GO:0007254" "JNK cascade" "12/334" "97/9111" 0.000209017875833944 0.000985800654774514 0.00052228024389175 "FLT4/MAP4K4/FCGR2B/MAP3K13/MECOM/CRKL/CCR7/IGF1R/EGFR/EPHB1/FGF19/MYD88" 12
"BP" "GO:0051348" "negative regulation of transferase activity" "13/334" "112/9111" 0.000219490476688697 0.00103395033676644 0.000547790094724429 "WWTR1/PIK3CB/LRP6/TRIB3/PPARG/AKT1/EIF4A2/LRP5/IRS2/PTPN1/SRC/TRIM27/LYN" 13
"BP" "GO:0014037" "Schwann cell differentiation" "6/334" "25/9111" 0.000227508737521499 0.00106660010278897 0.000565088042010893 "ERBB3/AKT2/AKT1/NTRK2/SKI/POU3F2" 6
"BP" "GO:0044331" "cell-cell adhesion mediated by cadherin" "6/334" "25/9111" 0.000227508737521499 0.00106660010278897 0.000565088042010893 "CDH17/VEGFA/FOXA1/CDH2/CDH4/NOTCH4" 6
"BP" "GO:0045646" "regulation of erythrocyte differentiation" "6/334" "25/9111" 0.000227508737521499 0.00106660010278897 0.000565088042010893 "HIF1A/CDK6/INHBA/MAFB/PRKDC/LYN" 6
"BP" "GO:0051973" "positive regulation of telomerase activity" "6/334" "25/9111" 0.000227508737521499 0.00106660010278897 0.000565088042010893 "HSP90AA1/MAPK1/KLF4/MYC/CTNNB1/AURKB" 6
"BP" "GO:0008361" "regulation of cell size" "12/334" "98/9111" 0.000230498398270014 0.00107682150411323 0.000570503372129306 "MAP3K13/DNM2/HSP90AA1/ARHGAP5/NHERF1/VEGFA/AKT3/CREB1/EPHA7/VAV1/IL7R/CDH4" 12
"BP" "GO:0032200" "telomere organization" "11/334" "84/9111" 0.000230596914640951 0.00107682150411323 0.000570503372129306 "HSP90AA1/MAPK1/YY1/CCNE1/HNRNPA2B1/MYC/TERT/CTNNB1/AURKB/SRC/PRKDC" 11
"BP" "GO:1904888" "cranial skeletal system development" "8/334" "46/9111" 0.000231294685246565 0.00107682150411323 0.000570503372129306 "FGFR2/TP63/FGF4/CRKL/PDGFRA/CTNNB1/CHST11/PAX5" 8
"BP" "GO:0051785" "positive regulation of nuclear division" "7/334" "35/9111" 0.000231474195203026 0.00107682150411323 0.000570503372129306 "IGF1/AURKA/PDGFB/HOXA13/LRP5/IGF2/INSR" 7
"BP" "GO:1904036" "negative regulation of epithelial cell apoptotic process" "7/334" "35/9111" 0.000231474195203026 0.00107682150411323 0.000570503372129306 "GATA3/NFE2L2/KDR/YAP1/IGF1R/BRAF/TERT" 7
"BP" "GO:2000351" "regulation of endothelial cell apoptotic process" "7/334" "35/9111" 0.000231474195203026 0.00107682150411323 0.000570503372129306 "GATA3/NFE2L2/PLCG1/KDR/BRAF/PRKCI/TERT" 7
"BP" "GO:0009416" "response to light stimulus" "16/334" "159/9111" 0.000231609925961153 0.00107682150411323 0.000570503372129306 "BCL3/HIF1A/YY1/AKT2/CRTC1/CCND1/KMT2A/KRAS/MDM2/MYC/CUL4A/AKT1/EGFR/KIT/BRAF/AURKB" 16
"BP" "GO:0010817" "regulation of hormone levels" "24/334" "298/9111" 0.000239990645856979 0.00111446543709205 0.000590447244556254 "NADK/PRKACA/ESR1/JAK2/HIF1A/GATA3/CREB1/MYB/FGF23/INHBA/FOXA1/RAF1/PPARG/PDGFRA/CYP19A1/IGF1R/FURIN/LRP5/ATP1A1/PTPN11/FOXL2/IRS2/HSD3B1/LYN" 24
"BP" "GO:0046634" "regulation of alpha-beta T cell activation" "10/334" "71/9111" 0.000241687436054169 0.00112101832042147 0.000593918982464831 "JAK2/TYK2/GATA3/BCL6/CD274/RARA/IRF4/ITPKB/SYK/CARD11" 10
"BP" "GO:0006606" "protein import into nucleus" "11/334" "85/9111" 0.000256370755499568 0.00118772000540768 0.000629257742014101 "BCL3/HSP90AA1/JAK2/UBR5/E2F3/NUP214/SMO/AKT1/RANBP2/SQSTM1/SYK" 11
"BP" "GO:0071674" "mononuclear cell migration" "14/334" "129/9111" 0.000258974084887193 0.00119836593053932 0.000634897986162124 "CDC42/CRKL/MAPK1/PDGFB/FLT1/PIK3CG/GATA3/CXCR4/CCR7/AKT1/ABL2/PIK3CD/CALR/LYN" 14
"BP" "GO:0033157" "regulation of intracellular protein transport" "13/334" "114/9111" 0.000262110647127814 0.00121145133018792 0.000641830671474098 "FYN/PRKACA/HSP90AA1/XPO1/JAK2/UBR5/AKT2/RAC2/SMO/MDM2/ERBB2/PTPN11/PTPN1" 13
"BP" "GO:0045445" "myoblast differentiation" "9/334" "59/9111" 0.000267147522369363 0.0012332786797381 0.000653394868952932 "IGF1/SMARCE1/DDX5/FGF6/BCL9/SOX9/NRG1/DDIT3/NRAS" 9
"BP" "GO:0009791" "post-embryonic development" "8/334" "47/9111" 0.000269987718216145 0.00124492574180981 0.000659565518556355 "FGFR2/JAK2/GATA3/VEGFA/KMT2A/KDR/KLF4/CHST11" 8
"BP" "GO:0021761" "limbic system development" "10/334" "72/9111" 0.000271711191054089 0.00125140224612236 0.00066299679062494 "FGFR2/CRKL/CDK6/SMO/RARA/NKX2-1/IGF1R/CTNNB1/POU3F2/HSD3B1" 10
"BP" "GO:0001569" "branching involved in blood vessel morphogenesis" "5/334" "17/9111" 0.000276229289286638 0.00125891257974537 0.000666975788668146 "VEGFA/KDR/SFRP2/CTNNB1/NOTCH4" 5
"BP" "GO:0003156" "regulation of animal organ formation" "5/334" "17/9111" 0.000276229289286638 0.00125891257974537 0.000666975788668146 "FGF10/HOXC11/FRS2/CTNNB1/WT1" 5
"BP" "GO:0014904" "myotube cell development" "5/334" "17/9111" 0.000276229289286638 0.00125891257974537 0.000666975788668146 "IGF1/NFATC2/SMO/SKI/SMYD3" 5
"BP" "GO:0017145" "stem cell division" "5/334" "17/9111" 0.000276229289286638 0.00125891257974537 0.000666975788668146 "WWTR1/NCOA3/SFRP2/MLLT3/ETV5" 5
"BP" "GO:0022011" "myelination in peripheral nervous system" "5/334" "17/9111" 0.000276229289286638 0.00125891257974537 0.000666975788668146 "AKT2/AKT1/NTRK2/SKI/POU3F2" 5
"BP" "GO:0032292" "peripheral nervous system axon ensheathment" "5/334" "17/9111" 0.000276229289286638 0.00125891257974537 0.000666975788668146 "AKT2/AKT1/NTRK2/SKI/POU3F2" 5
"BP" "GO:0034391" "regulation of smooth muscle cell apoptotic process" "5/334" "17/9111" 0.000276229289286638 0.00125891257974537 0.000666975788668146 "IGF1/LRP6/E2F3/DNMT1/PPARG" 5
"BP" "GO:0048679" "regulation of axon regeneration" "5/334" "17/9111" 0.000276229289286638 0.00125891257974537 0.000666975788668146 "MAP2K2/KLF4/IGF1R/BRAF/MAP2K1" 5
"BP" "GO:0060065" "uterus development" "5/334" "17/9111" 0.000276229289286638 0.00125891257974537 0.000666975788668146 "ESR1/GATA3/CYP19A1/FOXL2/SRC" 5
"BP" "GO:0030888" "regulation of B cell proliferation" "7/334" "36/9111" 0.000278433237466242 0.00126601625007826 0.000670739335239164 "FCGR2B/NFATC2/BCL6/IKZF3/IRS2/CARD11/LYN" 7
"BP" "GO:2000117" "negative regulation of cysteine-type endopeptidase activity" "7/334" "36/9111" 0.000278433237466242 0.00126601625007826 0.000670739335239164 "HGF/VEGFA/BCL2L12/RAF1/KLF4/AKT1/SRC" 7
"BP" "GO:0033003" "regulation of mast cell activation" "6/334" "26/9111" 0.000286734286562007 0.00129774549073739 0.000687549585333531 "GAB2/RAC2/SYK/FES/CRLF2/LYN" 6
"BP" "GO:0033574" "response to testosterone" "6/334" "26/9111" 0.000286734286562007 0.00129774549073739 0.000687549585333531 "HOXA13/FOXP1/HOXD13/IGF1R/HOXB13/CALR" 6
"BP" "GO:0060986" "endocrine hormone secretion" "6/334" "26/9111" 0.000286734286562007 0.00129774549073739 0.000687549585333531 "GATA3/INHBA/PPARG/CYP19A1/PTPN11/FOXL2" 6
"BP" "GO:1902743" "regulation of lamellipodium organization" "6/334" "26/9111" 0.000286734286562007 0.00129774549073739 0.000687549585333531 "WAS/CDC42/HSP90AA1/PIK3CA/RAC2/SRC" 6
"BP" "GO:0009953" "dorsal/ventral pattern formation" "9/334" "60/9111" 0.000304335059323211 0.0013758188626547 0.000728913099882781 "PRKACA/GLI1/SMO/HOXD11/FOXA1/NKX2-1/FOXN4/CTNNB1/DDIT3" 9
"BP" "GO:0003206" "cardiac chamber morphogenesis" "10/334" "73/9111" 0.000304794120559477 0.00137630854899354 0.000729172537223628 "FGFR2/HIF1A/GATA3/SMO/NOTCH2/MDM2/GATA6/SFRP2/NRG1/HEY1" 10
"BP" "GO:0140352" "export from cell" "33/334" "477/9111" 0.00031015967297838 0.00139861923957517 0.000740992810279781 "NADK/IGF1/GAB2/FGF10/PRKACA/FCGR2B/JAK2/HIF1A/PIK3CG/GATA3/CREB1/MYB/FGF23/INHBA/RAP1B/RAC2/RAF1/PPARG/CYP19A1/FURIN/NTRK2/PAK1/KIT/BRAF/LRP5/ATP1A1/SYK/PIK3CD/PTPN11/FES/FOXL2/IRS2/LYN" 33
"BP" "GO:0043086" "negative regulation of catalytic activity" "20/334" "231/9111" 0.00031057210267349 0.00139861923957517 0.000740992810279781 "WWTR1/HGF/PIK3CB/LRP6/TRIB3/IKBKB/VEGFA/BCL2L12/RAF1/PPARG/KLF4/AKT1/EIF4A2/LRP5/IRS2/PTPN1/SRC/GRM3/TRIM27/LYN" 20
"BP" "GO:0007623" "circadian rhythm" "13/334" "116/9111" 0.000311616381101406 0.00139861923957517 0.000740992810279781 "KDM5A/CRTC1/KMT2A/CREB1/ID1/PPARG/NKX2-1/NCOA2/NTRK2/HDAC2/NTRK1/TOP1/PRKDC" 13
"BP" "GO:0048012" "hepatocyte growth factor receptor signaling pathway" "4/334" "10/9111" 0.000312586410068152 0.00139861923957517 0.000740992810279781 "HGF/MET/PAK1/PTPN1" 4
"BP" "GO:0060572" "morphogenesis of an epithelial bud" "4/334" "10/9111" 0.000312586410068152 0.00139861923957517 0.000740992810279781 "FGFR2/FGF10/TP63/CTNNB1" 4
"BP" "GO:0097152" "mesenchymal cell apoptotic process" "4/334" "10/9111" 0.000312586410068152 0.00139861923957517 0.000740992810279781 "HIF1A/HOXA13/SOX9/POU3F4" 4
"BP" "GO:1905063" "regulation of vascular associated smooth muscle cell differentiation" "4/334" "10/9111" 0.000312586410068152 0.00139861923957517 0.000740992810279781 "PDGFB/NFATC2/DNMT1/KIT" 4
"BP" "GO:1905564" "positive regulation of vascular endothelial cell proliferation" "4/334" "10/9111" 0.000312586410068152 0.00139861923957517 0.000740992810279781 "FGFR1/AKT3/PLCG1/IGF2" 4
"BP" "GO:0045600" "positive regulation of fat cell differentiation" "8/334" "48/9111" 0.000313816841500966 0.00140092979072786 0.000742216947445552 "TFE3/KLF5/CREB1/PPARG/PIM1/AKT1/SFRP2/LRP5" 8
"BP" "GO:0070527" "platelet aggregation" "8/334" "48/9111" 0.000313816841500966 0.00140092979072786 0.000742216947445552 "PIK3CB/GNAS/JAK2/PIK3CG/IL6ST/PDGFRA/SYK/LYN" 8
"BP" "GO:0071496" "cellular response to external stimulus" "18/334" "197/9111" 0.00032154237956328 0.00143378670159808 0.000759624640714686 "MAPK1/RHEB/COL1A1/TFEB/NFE2L2/RRAGC/FGF23/SOX9/PIK3C2B/MDM2/PIM1/IGF1R/SFRP2/RICTOR/PPM1D/MYD88/FES/LYN" 18
"BP" "GO:0051222" "positive regulation of protein transport" "16/334" "164/9111" 0.000330009940074808 0.00146987401231957 0.000778743809842577 "NADK/FYN/IGF1/PRKACA/HSP90AA1/JAK2/HIF1A/UBR5/AKT2/RAC2/SMO/PPARG/MDM2/ERBB2/IRS2/SRC" 16
"BP" "GO:0032613" "interleukin-10 production" "7/334" "37/9111" 0.00033275359471829 0.0014787373790199 0.000783439649005929 "HGF/BCL3/FCGR2B/CD274/IRF4/SYK/PDCD1LG2" 7
"BP" "GO:0032653" "regulation of interleukin-10 production" "7/334" "37/9111" 0.00033275359471829 0.0014787373790199 0.000783439649005929 "HGF/BCL3/FCGR2B/CD274/IRF4/SYK/PDCD1LG2" 7
"BP" "GO:0097529" "myeloid leukocyte migration" "15/334" "148/9111" 0.000334451224706235 0.00148460023274578 0.000786545807090753 "MAPK1/PDGFB/FLT1/PIK3CG/VEGFA/CSF3R/CCR7/RAC2/CYP19A1/VAV1/KIT/SYK/PIK3CD/MYD88/LYN" 15
"BP" "GO:0001704" "formation of primary germ layer" "10/334" "74/9111" 0.000341176580870848 0.00151274226365786 0.000801455542337108 "FGFR2/PRKACA/INHBA/KLF4/GATA6/SFRP2/HMGA2/CTNNB1/MAP2K1/SOX2" 10
"BP" "GO:0051170" "import into nucleus" "11/334" "88/9111" 0.000348744613449739 0.00154455289297605 0.000818308912395432 "BCL3/HSP90AA1/JAK2/UBR5/E2F3/NUP214/SMO/AKT1/RANBP2/SQSTM1/SYK" 11
"BP" "GO:1902532" "negative regulation of intracellular signal transduction" "24/334" "306/9111" 0.000355662826956409 0.00157341706085338 0.000833601238045343 "FYN/PIK3CB/HDAC7/PRKACA/MECOM/ESR1/HIF1A/MET/NHERF1/BCL6/NFE2L2/PPARG/MDM2/MYC/IGF1R/AKT1/ABL2/SFRP2/CTNNB1/DDIT3/PTPN1/SRC/TMSB4X/LYN" 24
"BP" "GO:0031102" "neuron projection regeneration" "6/334" "27/9111" 0.000357413802544087 0.00157406482736588 0.000833944426752403 "JAK2/MAP2K2/KLF4/IGF1R/BRAF/MAP2K1" 6
"BP" "GO:0046686" "response to cadmium ion" "6/334" "27/9111" 0.000357413802544087 0.00157406482736588 0.000833944426752403 "MAPK1/AKT1/EGFR/KIT/TERT/JUN" 6
"BP" "GO:0050982" "detection of mechanical stimulus" "6/334" "27/9111" 0.000357413802544087 0.00157406482736588 0.000833944426752403 "FYN/CXCR4/KIT/CTNNB1/CDH2/NTRK1" 6
"BP" "GO:0051353" "positive regulation of oxidoreductase activity" "6/334" "27/9111" 0.000357413802544087 0.00157406482736588 0.000833944426752403 "PIK3CB/HIF1A/FGF23/AKT1/ABL2/TERT" 6
"BP" "GO:0044042" "glucan metabolic process" "8/334" "49/9111" 0.000363283265978662 0.00159812055571779 0.000846689226230654 "IGF1/AKT2/IL6ST/AKT1/IGF2/INSR/IRS2/MGAM" 8
"BP" "GO:0002070" "epithelial cell maturation" "5/334" "18/9111" 0.000371069933868673 0.00161786491166741 0.000857149847240502 "PGR/HIF1A/KDR/FOXA1/HOXB13" 5
"BP" "GO:0003416" "endochondral bone growth" "5/334" "18/9111" 0.000371069933868673 0.00161786491166741 0.000857149847240502 "FGFR2/FGFR3/SOX9/RARA/DDR2" 5
"BP" "GO:0014044" "Schwann cell development" "5/334" "18/9111" 0.000371069933868673 0.00161786491166741 0.000857149847240502 "AKT2/AKT1/NTRK2/SKI/POU3F2" 5
"BP" "GO:0033146" "regulation of intracellular estrogen receptor signaling pathway" "5/334" "18/9111" 0.000371069933868673 0.00161786491166741 0.000857149847240502 "TP63/FOXA1/YAP1/PAK1/SRC" 5
"BP" "GO:0033598" "mammary gland epithelial cell proliferation" "5/334" "18/9111" 0.000371069933868673 0.00161786491166741 0.000857149847240502 "ESR1/MAPK1/GATA3/CCND1/STAT6" 5
"BP" "GO:0034390" "smooth muscle cell apoptotic process" "5/334" "18/9111" 0.000371069933868673 0.00161786491166741 0.000857149847240502 "IGF1/LRP6/E2F3/DNMT1/PPARG" 5
"BP" "GO:0060674" "placenta blood vessel development" "5/334" "18/9111" 0.000371069933868673 0.00161786491166741 0.000857149847240502 "MAPK1/NOTCH2/AKT1/HEY1/MAP2K1" 5
"BP" "GO:0070570" "regulation of neuron projection regeneration" "5/334" "18/9111" 0.000371069933868673 0.00161786491166741 0.000857149847240502 "MAP2K2/KLF4/IGF1R/BRAF/MAP2K1" 5
"BP" "GO:0071214" "cellular response to abiotic stimulus" "16/334" "166/9111" 0.000378467814184734 0.00164646086791674 0.00087230007353816 "YY1/AKT2/GATA3/COL1A1/CCND2/PIK3CA/SOX9/MDM2/MYC/YAP1/CUL4A/IGF1R/SFRP2/MYD88/AURKB/CALR" 16
"BP" "GO:0104004" "cellular response to environmental stimulus" "16/334" "166/9111" 0.000378467814184734 0.00164646086791674 0.00087230007353816 "YY1/AKT2/GATA3/COL1A1/CCND2/PIK3CA/SOX9/MDM2/MYC/YAP1/CUL4A/IGF1R/SFRP2/MYD88/AURKB/CALR" 16
"BP" "GO:0050770" "regulation of axonogenesis" "11/334" "89/9111" 0.0003851631223917 0.00167373210660579 0.000886748460364407 "MAP3K13/VEGFA/MAP2K2/EPHA7/NTRK2/PAK1/BRAF/MAP2K1/CDH2/CDH4/POU3F2" 11
"BP" "GO:0032835" "glomerulus development" "7/334" "38/9111" 0.00039525114568168 0.00171188244553522 0.000906960628234364 "WWTR1/NOTCH3/PDGFB/NOTCH2/PDGFRA/IQGAP1/WT1" 7
"BP" "GO:0038034" "signal transduction in absence of ligand" "7/334" "38/9111" 0.00039525114568168 0.00171188244553522 0.000906960628234364 "ERBB3/FGF10/FGFR1/INHBA/AKT1/MCL1/TERT" 7
"BP" "GO:0097192" "extrinsic apoptotic signaling pathway in absence of ligand" "7/334" "38/9111" 0.00039525114568168 0.00171188244553522 0.000906960628234364 "ERBB3/FGF10/FGFR1/INHBA/AKT1/MCL1/TERT" 7
"BP" "GO:0006006" "glucose metabolic process" "13/334" "119/9111" 0.000400729858884724 0.00173369786798639 0.000918518506699158 "IGF1/PRKACA/AKT2/PIK3CA/NCOA2/AKT1/PDK1/RANBP2/LRP5/IGF2/INSR/IRS2/SRC" 13
"BP" "GO:0031668" "cellular response to extracellular stimulus" "16/334" "167/9111" 0.000404915777160491 0.00174795325586113 0.000926071055401506 "MAPK1/RHEB/COL1A1/TFEB/NFE2L2/RRAGC/FGF23/PIK3C2B/MDM2/PIM1/IGF1R/SFRP2/RICTOR/PPM1D/FES/LYN" 16
"BP" "GO:0042326" "negative regulation of phosphorylation" "16/334" "167/9111" 0.000404915777160491 0.00174795325586113 0.000926071055401506 "WWTR1/HGF/PIK3CB/LRP6/CRKL/TRIB3/INHBA/PPARG/AKT1/SFRP2/LRP5/IRS2/PTPN1/TRIM27/PRKDC/LYN" 16
"BP" "GO:0030178" "negative regulation of Wnt signaling pathway" "11/334" "90/9111" 0.000424722694389355 0.00182943123247402 0.000969238340076233 "WWTR1/SOX10/NHERF1/GLI1/SOX9/SFRP2/CTNNB1/CDH2/MLLT3/DDIT3/SOX2" 11
"BP" "GO:0042552" "myelination" "11/334" "90/9111" 0.000424722694389355 0.00182943123247402 0.000969238340076233 "SOX10/AKT2/CXCR4/RARA/ERBB2/AKT1/NTRK2/SKI/NCSTN/CTNNB1/POU3F2" 11
"BP" "GO:0006110" "regulation of glycolytic process" "6/334" "28/9111" 0.000441024775545347 0.00189341490070016 0.00100313708591738 "IGF1/HDAC4/PRKACA/HIF1A/INSR/ZBTB20" 6
"BP" "GO:0046824" "positive regulation of nucleocytoplasmic transport" "6/334" "28/9111" 0.000441024775545347 0.00189341490070016 0.00100313708591738 "PRKACA/HSP90AA1/JAK2/UBR5/SMO/MDM2" 6
"BP" "GO:1902459" "positive regulation of stem cell population maintenance" "6/334" "28/9111" 0.000441024775545347 0.00189341490070016 0.00100313708591738 "TP63/SMARCE1/NCOA3/YAP1/SS18/HDAC2" 6
"BP" "GO:0030316" "osteoclast differentiation" "9/334" "63/9111" 0.000442415177038056 0.00189730836578943 0.00100519985579541 "GAB2/TFE3/FOXP1/CREB1/NOTCH2/CTNNB1/MITF/SRC/MAFB" 9
